"species","gbif_records"
"Amazilia tzacatl",14187
"Florisuga mellivora",9048
"Saucerottia saucerottei",8997
"Thalurania colombica",5632
"Phaethornis guy",5437
"Colibri delphinae",5172
"Anthracothorax nigricollis",4882
"Uranomitra franciae",4856
"Ocreatus underwoodii",4547
"Chlorostilbon melanorhynchus",4528
"Adelomyia melanogenys",3699
"Phaethornis yaruqui",3629
"Calliphlox mitchellii",3428
"Aglaiocercus kingii",3385
"Coeligena coeligena",3342
"Heliodoxa rubinoides",3041
"Phaethornis syrmatophorus",2097
"Discosura conversii",2018
"Heliodoxa imperatrix",1874
"Haplophaedia aureliae",1595
"Urochroa bougueri",1487
"Heliothryx barroti",1440
"Boissonneaua flavescens",1360
"Aglaiocercus coelestis",1140
"Colibri coruscans",1124
"Phaethornis striigularis",877
"Chrysuronia grayi",865
"Heliomaster longirostris",865
"Polyerata rosenbergi",847
"Androdon aequatorialis",792
"Coeligena torquata",689
"Schistes albogularis",604
"Chalybura buffonii",598
"Eutoxeres aquila",593
"Boissonneaua jardini",496
"Heliangelus exortis",491
"Doryfera ludovicae",482
"Colibri cyanotus",473
"Threnetes ruckeri",459
"Coeligena wilsoni",450
"Chrysolampis mosquitus",425
"Heliodoxa jacula",385
"Chaetocercus mulsant",366
"Polyerata amabilis",350
"Metallura tyrianthina",276
"Glaucis aeneus",258
"Glaucis hirsutus",165
"Urosticte benjamini",164
"Ensifera ensifera",151
"Chlorostilbon mellisugus",137
"Coeligena lutetiae",136
"Lesbia nuna",135
"Lafresnaya lafresnayi",100
"Ramphomicron microrhynchum",93
"Aglaeactis cupripennis",84
NULL,78
"Metallura williami",75
"Chalybura urochrysia",68
"Eriocnemis derbyi",62
"Eriocnemis mosquera",51
"Chrysuronia humboldtii",49
"Thalurania furcata",36
"Chalcostigma herrani",34
"Eriocnemis vestita",32
"Chlorostilbon gibsoni",26
"Colibri thalassinus",19
"Chaetocercus heliodor",18
"Phaethornis longuemareus",16
"Schistes geoffroyi",16
"Pterophanes cyanopterus",10
"Phaethornis ruber",9
"Chlorestes julie",5
"Anthracothorax prevostii",5
"Heliothryx auritus",3
"Haplophaedia lugens",3
"Opisthoprora euryptera",2
"Phaethornis anthophilus",2
"Coeligena phalerata",2
"Heliodoxa leadbeateri",2
"Lophornis delattrei",2
"Chrysuronia goudoti",1
"Chrysuronia coeruleogularis",1
"Campylopterus largipennis",1
"Heliangelus amethysticollis",1
"Oxypogon guerinii",1
"Phaethornis longirostris",1
"Lesbia victoriae",1
"Heliodoxa gularis",1
"Oxypogon stuebelii",1
"Eriocnemis cupreoventris",1
"Coeligena prunellei",1
"Coeligena orina",1
"Coeligena bonapartei",1
